BioWare Version 5.3.0.7 Export
Device:	P 9260AA6	P 9260AA6	P 9260AA6	P 9260AA6
Samples (#):	30000	30000	30000	30000
Rate (Hz):	1000.000000	1000.000000	1000.000000	1000.000000
Contact period start (sample #):	2	2	2	2
Contact period end (sample #):	29998	29998	29998	29998
Contact period start time (s):	0.002000	0.002000	0.002000	0.002000
Contact period end time (s):	29.997999	29.997999	29.997999	29.997999
First sample time (s):	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	705.564941	705.564941	705.564941	705.564941
Normalized length (m):	1.000000	1.000000	1.000000	1.000000
File Information
Date	Dec 14, 2019  11:47:58
Name	
ID	
Classification	
Description	
abs time (s)	Ax	Ay	COM sx	COM sy
	m	m	m	m
0.311000	-8.013526	5.829645	0.000351	-0.001071
0.312000	-30.000606	126.627720	0.000354	-0.001078
0.313000	-5.058380	-9.578082	0.000357	-0.001085
0.314000	-5.058380	-9.578082	0.000360	-0.001093
0.315000	-5.058380	-9.578082	0.000362	-0.001100
0.316000	-7.421867	5.788555	0.000365	-0.001108
0.317000	-7.337812	5.566552	0.000368	-0.001115
0.318000	-5.058380	-9.578082	0.000371	-0.001123
0.319000	-5.058380	-9.578082	0.000374	-0.001131
0.320000	-5.058380	-9.578082	0.000377	-0.001138
0.321000	-5.058380	-9.578082	0.000379	-0.001146
0.322000	-5.058380	-9.578082	0.000382	-0.001153
0.323000	-11.154867	35.592659	0.000385	-0.001161
0.324000	-28.612736	125.193362	0.000388	-0.001169
0.325000	-5.058380	-9.578082	0.000391	-0.001176
0.326000	-5.058380	-9.578082	0.000394	-0.001184
0.327000	-5.058380	-9.578082	0.000397	-0.001192
0.328000	-9.491506	18.126618	0.000400	-0.001200
0.329000	-9.170621	17.312755	0.000403	-0.001208
0.330000	-5.058380	-9.578082	0.000406	-0.001215
0.331000	-7.737345	5.762500	0.000409	-0.001223
0.332000	-5.058380	-9.578082	0.000412	-0.001231
0.333000	-8.326724	9.538431	0.000415	-0.001239
0.334000	-7.693106	9.512408	0.000418	-0.001247
0.335000	-10.847248	34.689762	0.000421	-0.001255
0.336000	-5.058380	-9.578082	0.000424	-0.001263
0.337000	-5.058380	-9.578082	0.000427	-0.001271
0.338000	-8.064852	9.027612	0.000430	-0.001279
0.339000	-9.562280	16.831789	0.000433	-0.001287
0.340000	-6.163840	-2.224759	0.000436	-0.001295
0.341000	-5.058380	-9.578082	0.000439	-0.001303
0.342000	-7.452501	5.450792	0.000442	-0.001311
0.343000	-7.449107	5.329710	0.000445	-0.001319
0.344000	-7.723474	5.580574	0.000448	-0.001328
0.345000	-6.282014	-1.693677	0.000451	-0.001336
0.346000	-5.058380	-9.578082	0.000454	-0.001344
0.347000	-9.019214	17.147722	0.000457	-0.001352
0.348000	-12.154763	35.258184	0.000460	-0.001361
0.349000	-6.585883	-0.607537	0.000463	-0.001369
0.350000	-5.058380	-9.578082	0.000466	-0.001377
0.351000	-7.462173	9.944139	0.000469	-0.001386
0.352000	-28.872552	132.187851	0.000473	-0.001394
0.353000	-5.058380	-9.578082	0.000476	-0.001402
0.354000	-12.506332	35.125105	0.000479	-0.001411
0.355000	-9.399715	17.440099	0.000482	-0.001419
0.356000	-6.356439	-0.740615	0.000485	-0.001427
0.357000	-9.589641	16.127316	0.000488	-0.001436
0.358000	-7.850144	9.425262	0.000491	-0.001444
0.359000	-7.469132	9.530387	0.000494	-0.001453
0.360000	-5.058380	-9.578082	0.000498	-0.001461
0.361000	-24.634193	122.827661	0.000501	-0.001470
0.362000	-5.058380	-9.578082	0.000504	-0.001479
0.363000	-5.058380	-9.578082	0.000507	-0.001487
0.364000	-6.656293	0.379040	0.000510	-0.001496
0.365000	-5.058380	-9.578082	0.000514	-0.001504
0.366000	-5.058380	-9.578082	0.000517	-0.001513
0.367000	-6.297535	-0.875599	0.000520	-0.001522
0.368000	-6.977609	2.538893	0.000523	-0.001530
0.369000	-25.298948	124.767223	0.000526	-0.001539
0.370000	-12.469631	33.904374	0.000530	-0.001548
0.371000	-5.058380	-9.578082	0.000533	-0.001557
0.372000	-5.058380	-9.578082	0.000536	-0.001565
0.373000	-9.231411	17.366944	0.000539	-0.001574
0.374000	-9.070252	16.860423	0.000543	-0.001583
0.375000	-5.058380	-9.578082	0.000546	-0.001592
0.376000	-5.058380	-9.578082	0.000549	-0.001601
0.377000	-9.204151	16.325904	0.000553	-0.001610
0.378000	-7.073918	4.794499	0.000556	-0.001619
