abs time (s)	Fx	Fy	Fz	|Ft|	Fx12	Fx34	Fy14	Fy23	Fz1	Fz2	Fz3	Fz4	Mx	My	Mz	Tz	Ax	Ay
	N	N	N	N	N	N	N	N	N	N	N	N	N m	N m	N m	N m	m	m
0.920000	-3.147194	-2.153266	743.011009	743.020794	-8.374321	5.227127	-13.175653	11.022388	290.993713	-3.151185	368.868408	86.300072	-33.368295	-1.530811	-0.183475	-0.037700	0.002060	-0.044910
0.930000	-3.130884	-2.328708	742.850207	742.860455	-8.374321	5.243437	-13.287387	10.958679	290.197327	-2.990819	368.558716	87.084984	-33.582648	-1.546619	-0.185976	-0.039588	0.002082	-0.045208
0.940000	-2.935881	-2.599745	743.457920	743.468262	-8.326107	5.390226	-13.415082	10.815337	289.560211	-3.311550	368.868408	88.340851	-34.075133	-1.613419	-0.164384	-0.024181	0.002170	-0.045833
0.950000	-2.902783	-2.950453	744.694801	744.706303	-8.358250	5.455466	-13.558740	10.608287	288.604553	-3.151185	369.487732	89.753700	-34.624844	-1.573230	-0.137300	0.003899	0.002113	-0.046495
0.960000	-2.755755	-3.396896	743.129422	743.142295	-8.374321	5.618566	-13.782207	10.385310	288.126709	-3.632281	367.939392	90.695602	-34.675255	-1.865833	-0.101525	0.035591	0.002511	-0.046661
0.970000	-2.543964	-4.002749	744.829267	744.844366	-8.358250	5.814285	-14.069521	10.066772	286.852478	-3.632281	368.558716	93.050354	-35.497653	-1.911646	-0.061848	0.069667	0.002567	-0.047659
0.980000	-2.364793	-4.369523	743.387145	743.403747	-8.342178	5.977385	-14.277025	9.907502	286.056091	-4.273744	368.868408	92.736389	-35.767863	-1.810154	-0.038231	0.086191	0.002435	-0.048115
0.990000	-2.331934	-4.736366	743.223470	743.242220	-8.358250	6.026315	-14.516454	9.780087	285.419006	-3.953013	369.178070	92.579407	-35.845162	-1.637740	-0.038672	0.084233	0.002204	-0.048229
1.000000	-2.233836	-5.087179	744.313169	744.333906	-8.374321	6.140485	-14.707997	9.620818	284.781891	-3.953013	369.178070	94.306221	-36.302161	-1.764089	-0.016497	0.104511	0.002370	-0.048773
1.010000	-2.120860	-5.342290	744.299811	744.322005	-8.293964	6.173105	-14.835692	9.493402	284.622620	-4.273744	369.487732	94.463203	-36.480011	-1.760059	-0.026078	0.090504	0.002365	-0.049013
1.020000	-2.201694	-5.469915	744.754958	744.778299	-8.342178	6.140485	-14.931464	9.461549	283.826202	-4.273744	369.797394	95.405106	-36.883864	-1.743995	-0.030629	0.091218	0.002342	-0.049525
1.030000	-2.265501	-5.820693	743.812514	743.838738	-8.438605	6.173105	-15.107045	9.286352	283.189117	-4.273744	369.178070	95.719070	-36.934424	-1.782411	-0.004866	0.121577	0.002396	-0.049656
1.040000	-2.233119	-6.155648	742.074180	742.103071	-8.422534	6.189415	-15.330512	9.174864	282.711273	-4.594475	369.023224	94.934158	-36.891114	-1.686492	-0.018255	0.106751	0.002273	-0.049714
1.050000	-2.281572	-6.363153	743.795650	743.826367	-8.454677	6.173105	-15.538016	9.174864	282.552002	-4.434110	369.487732	96.190025	-37.225633	-1.745279	-0.039989	0.089130	0.002346	-0.050048
1.060000	-2.346812	-6.379255	743.474788	743.505859	-8.454677	6.107865	-15.617826	9.238571	282.074158	-4.434110	369.487732	96.347008	-37.351874	-1.709712	-0.070259	0.062313	0.002300	-0.050240
1.070000	-2.298598	-6.443172	743.309077	743.340556	-8.406463	6.107865	-15.713597	9.270426	281.914886	-4.434110	369.952240	95.876060	-37.379564	-1.576175	-0.095217	0.034037	0.002120	-0.050288
1.080000	-2.298598	-6.507090	742.221862	742.253945	-8.406463	6.107865	-15.809369	9.302279	281.914886	-4.594475	368.868408	96.033043	-37.223391	-1.744317	-0.110532	0.020038	0.002350	-0.050151
1.090000	-2.266933	-6.523156	743.010333	743.042425	-8.342178	6.075245	-15.873217	9.350060	281.755615	-4.113378	369.178070	96.190025	-37.251631	-1.647726	-0.143309	-0.015187	0.002218	-0.050136
1.100000	-2.315386	-6.698493	743.159628	743.193423	-8.374321	6.058935	-15.937064	9.238571	281.755615	-4.273744	369.487732	96.190025	-37.337747	-1.631991	-0.134425	-0.003386	0.002196	-0.050242
1.110000	-2.185861	-6.810157	744.421168	744.455527	-8.310036	6.124175	-16.016874	9.206717	281.914886	-4.113378	369.487732	97.131927	-37.457175	-1.739059	-0.139989	-0.014093	0.002336	-0.050317
1.120000	-2.008361	-6.794334	743.158556	743.192328	-8.181466	6.173105	-16.064760	9.270426	281.596344	-4.113378	369.642548	96.033043	-37.332782	-1.542402	-0.169308	-0.054316	0.002075	-0.050235
1.130000	-1.959671	-6.650851	742.845983	742.878341	-8.165396	6.205725	-16.000912	9.350060	281.755615	-3.953013	369.952240	95.091141	-37.148869	-1.389889	-0.167893	-0.057448	0.001871	-0.050009
1.140000	-1.911219	-6.411703	743.789195	743.819285	-8.133253	6.222034	-15.889178	9.477475	282.233429	-4.113378	370.107056	95.562088	-37.221294	-1.502226	-0.172941	-0.064349	0.002020	-0.050043
1.150000	-1.976220	-6.284113	741.308965	741.338234	-8.149324	6.173105	-15.809369	9.525256	282.392731	-3.953013	368.249054	94.620193	-36.603123	-1.614956	-0.175669	-0.064401	0.002179	-0.049376
1.160000	-1.912412	-6.236298	743.491174	743.519788	-8.052896	6.140485	-15.793407	9.557110	282.870544	-3.792647	370.107056	94.306221	-36.786444	-1.389541	-0.203386	-0.097108	0.001869	-0.049478
